Prompt;Accepted;Rejected;;
Recommended film if you watched:Doctor Dolittle (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Out of Sight (1998);Grumpier Old Men (1995)-Heat (1995)-Sabrina (1995)-GoldenEye (1995)-American President, The (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995);;
Recommended film if you watched:Picnic at Hanging Rock (1975);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Smoke Signals (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Voyage to the Beginning of the World (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Buffalo 66 (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-GoldenEye (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995)-Sudden Death (1995);;
Recommended film if you watched:Armageddon (1998);Jumanji (1995)-Heat (1995)-Tom and Huck (1995)-GoldenEye (1995)-Cutthroat Island (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Lethal Weapon 4 (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-GoldenEye (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995)-Sudden Death (1995);;
Recommended film if you watched:Madeline (1998);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-Babe (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-Tom and Huck (1995);;
Recommended film if you watched:Small Soldiers (1998);Toy Story (1995)-Jumanji (1995)-Balto (1995)-Babe (1995)-Richard III (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Pi (1998);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Whatever (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:There's Something About Mary (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Plan 9 from Outer Space (1958);Powder (1995)-City of Lost Children, The (1995)-Twelve Monkeys (1995)-From Dusk Till Dawn (1996)-Congo (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Wings (1927);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Broadway Melody; The (1929);Misérables, Les (1995)-Muppet Treasure Island (1996)-Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)-Farinelli: il castrato (1994)-Backbeat (1993);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:All Quiet on the Western Front (1930);Richard III (1995)-Braveheart (1995)-Rob Roy (1995)-Beyond Rangoon (1995)-Canadian Bacon (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Cimarron (1931);Wild Bill (1995)-Legends of the Fall (1994)-Quick and the Dead, The (1995)-Maverick (1994)-Wyatt Earp (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Grand Hotel (1932);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Cavalcade (1933);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Mutiny on the Bounty (1935);Mortal Kombat (1995)-Waterworld (1995)-Good Man in Africa, A (1994)-Quest, The (1996)-Phantom, The (1996);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Great Ziegfeld; The (1936);Misérables, Les (1995)-Muppet Treasure Island (1996)-Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)-Farinelli: il castrato (1994)-Backbeat (1993);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Life of Émile Zola; The (1937);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:You Can't Take It With You (1938);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:How Green Was My Valley (1941);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Mrs. Miniver (1942);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Going My Way (1944);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Lost Weekend; The (1945);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Best Years of Our Lives; The (1946);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Gentleman's Agreement (1947);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Hamlet (1948);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:All the King's Men (1949);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Greatest Show on Earth; The (1952);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:From Here to Eternity (1953);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:On the Waterfront (1954);Waiting to Exhale (1995)-Heat (1995)-Nixon (1995)-Get Shorty (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Marty (1955);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:West Side Story (1961);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Tom Jones (1963);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Man for All Seasons; A (1966);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:In the Heat of the Night (1967);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Oliver! (1968);Misérables, Les (1995)-Muppet Treasure Island (1996)-Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)-Farinelli: il castrato (1994)-Backbeat (1993);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Midnight Cowboy (1969);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:French Connection; The (1971);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Rocky (1976);Waiting to Exhale (1995)-Heat (1995)-GoldenEye (1995)-Nixon (1995)-Cutthroat Island (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Kramer Vs. Kramer (1979);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Ordinary People (1980);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Chariots of Fire (1981);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Terms of Endearment (1983);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Out of Africa (1985);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Last Emperor; The (1987);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Rain Man (1988);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Driving Miss Daisy (1989);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Take the Money and Run (1969);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Klute (1971);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Repo Man (1984);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Metropolitan (1990);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Labyrinth (1986);Toy Story (1995)-Jumanji (1995)-Tom and Huck (1995)-GoldenEye (1995)-Cutthroat Island (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Breakfast Club; The (1985);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Nightmare on Elm Street Part 2: Freddy's Revenge; A (1985);Dracula: Dead and Loving It (1995)-Addiction, The (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Nightmare on Elm Street 3: Dream Warriors; A (1987);Dracula: Dead and Loving It (1995)-Addiction, The (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Nightmare on Elm Street 4: The Dream Master; A (1988);Dracula: Dead and Loving It (1995)-Addiction, The (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Nightmare on Elm Street 5: The Dream Child; A (1989);Dracula: Dead and Loving It (1995)-Addiction, The (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Freddy's Dead: The Final Nightmare (1991);Dracula: Dead and Loving It (1995)-Addiction, The (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Friday the 13th (1980);Dracula: Dead and Loving It (1995)-Addiction, The (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Friday the 13th Part 2 (1981);Dracula: Dead and Loving It (1995)-Addiction, The (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Friday the 13th Part 3: 3D (1982);Dracula: Dead and Loving It (1995)-Addiction, The (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
